DATE,DCOILBRENTEU
2016/12/29,54.97
2016/12/30,54.96
2017/1/2,54.96
2017/1/3,55.05
2017/1/4,54.57
2017/1/5,54.99
2017/1/6,55.9
2017/1/9,54.39
2017/1/10,53.2
2017/1/11,53.61
2017/1/12,54.51
2017/1/13,54.37
2017/1/16,54.3
2017/1/17,54.68
2017/1/18,53.77
2017/1/19,53.18
2017/1/20,55.04
2017/1/23,54.8
2017/1/24,54.7
2017/1/25,54.34
2017/1/26,55.89
2017/1/27,54.8
2017/1/30,54.77
2017/1/31,55.25
2017/2/1,55.79
2017/2/2,55.94
2017/2/3,55.92
2017/2/6,55.02
2017/2/7,53.79
2017/2/8,54.42
2017/2/9,53.98
2017/2/10,55.2
2017/2/13,54.15
2017/2/14,54.96
2017/2/15,54.57
2017/2/16,54.16
2017/2/17,54.48
2017/2/20,55.25
2017/2/21,56.34
2017/2/22,54.9
2017/2/23,55.82
2017/2/24,54.69
2017/2/27,54.65
2017/2/28,53.36
2017/3/1,55.72
2017/3/2,54.16
2017/3/3,54.12
2017/3/6,54.73
2017/3/7,54.61
2017/3/8,53.3
2017/3/9,50.65
2017/3/10,50.63
2017/3/13,50.1
2017/3/14,49.6
2017/3/15,50.63
2017/3/16,50.56
2017/3/17,50.58
2017/3/20,50.67
2017/3/21,50.14
2017/3/22,49.56
2017/3/23,50.17
2017/3/24,49.97
2017/3/27,50.12
2017/3/28,50.72
2017/3/29,51.36
2017/3/30,52.25
2017/3/31,52.2
2017/4/3,52.04
2017/4/4,53.08
2017/4/5,53.41
2017/4/6,53.62
2017/4/7,54.24
2017/4/10,54.79
2017/4/11,54.73
2017/4/12,54.75
2017/4/13,55.05
2017/4/14,.
2017/4/17,54.79
2017/4/18,52.6
2017/4/19,52.43
2017/4/20,50.66
2017/4/21,49.93
2017/4/24,49.45
2017/4/25,49.37
2017/4/26,49.99
2017/4/27,49.46
2017/4/28,49.46
2017/5/1,50.41
2017/5/2,49.31
2017/5/3,48.82
2017/5/4,47.53
2017/5/5,47.45
2017/5/8,46.61
2017/5/9,47.06
2017/5/10,48.09
2017/5/11,49.18
2017/5/12,49.08
2017/5/15,51.29
2017/5/16,51.21
2017/5/17,51.76
2017/5/18,51.71
2017/5/19,52.78
2017/5/22,53.35
